Sr No.,Entrepreneur Name,From,Business,Deal,Original Ask,Final Offer,Investors
60,Sahil Pruthi,Delhi,Keto Diet Plan(Keto India),No Deal,₹1.5 crore1.25% Equity,₹1.6 crore16% Equity,N/A
61,"Tejas, Zubin, Dhananjay",Mumbai,LPG Gas Safety Valve(Magic Lock),No Deal,₹1.2 crore8% Equity,No Offer,N/A
62,Muskaan and Raghav,Bangalore,Regional Food Delivery(The State Plate),Deal,₹65 lakhs2% Equity,₹40 lakhs4% Equity₹25 lakhs Debt,Peyush
63,Sumit and Divyesh,Mumbai,Comics and Animation(Bakarmax Pvt Ltd),No Deal,₹35 lakhs5% Equity,No Offer,N/A
64,Sameer and Viraj,Pune,Cocktails(In A Can),Deal,₹50 lakhs2% Equity,₹1 crore10% Equity,All Sharks
65,Jash Shah and Jimmy Shah,Ahmedabad,Whey Protein Ice-cream(Get-A-Whey),Deal,₹1 crore8% Equity,₹1 crore15% Equity,"Aman, Vineeta, Ashneer"
66,Siddharth Gupta,Jammu,Lifestyle Products(Sid07 Designs),Deal,₹47 lakhs10% Equity,₹25 lakhs75% Equity ₹22 lakhs Debt,Peyush
67,Malvica Saxena,Mathura,Customized Shoes/Jackets (The Quirky Naari),Deal,₹35 lakhs5% Equity,₹35 lakhs24% Equity,"Vineeta, Anupam"
68,Nitin and Rohan,Pune,Meads (Moonshine),No Deal,₹80 lakhs0.5% Equity,₹1 crore2.5% Equity,All Sharks
69,"Ashish, Jitendra, Piyush",Gurgaon,Hair Extensions(Hair Originals),Deal,₹60 lakhs2% Equity,₹60 lakhs4% Equity,"Anupam, Peyush, Ashneer"
70,Aditi Sodhi,Punjab,Pre-toilet Spray (Poo-De-Cologne),No Deal,₹75 lakhs5% Equity,No Offer,N/A
71,"Gulshan, Rahul, Dhruv",Gurgaon,Fresh Fruit Salad/Juices(Falhari),No Deal,₹50 lakhs2% Equity,₹50 lakhs8% Equity,Vineeta
72,Ridhima Arora,Gurugram,Ayurvedic Enriched Food(Namhya Foods),Deal,₹1 crore5% Equity,₹50 lakhs10% Equity ₹50 lakhs Debt,Aman
73,Yash Gangwal,Mumbai,OG Streetwear(Urban Monkey),No Deal,₹1 crore1% Equity,₹1 crore10% Equity,Peyush
74,Tasneem and Ismail Badri,Secunderabad,Luggage Bags(Guardian Gears),No Deal,₹30 lakhs5% Equity,₹30 lakhs30% Equity,"Vineeta, Anupam, Peyush"
75,Oshina and Saurabh,Delhi,Handcrafted Bags(Modern Myth),No Deal,₹75 lakhs5% Equity,No Offer,N/A
76,Rishika Nayak,Mumbai,Luxury Soaps (The Sass Bar),Deal,₹40 lakhs8% Equity,₹40 lakhs35% Equity,"Anupam, Ghazal"
77,Jugadu Kamlesh,Malegaon,Multipurpose Bicycle(KG Agrotech),Deal,₹30 lakhs10% Equity,₹10 lakhs40% Equity₹20 lakhs Loan,Peyush
78,Alpana and Viral Tiwari,Jaipur,Herbals Products(Nuskha Kitchen),No Deal,₹20 lakhs10% Equity,No Offer,N/A
79,Priyam Singh,Mumbai,Pets Parenting(PawsIndia),Deal,₹50 lakhs4% Equity,₹50 lakhs15% Equity,Anupam
80,"Mahatva, Umesh, Priyank, Chetan",Surat,Gluten-free Peanut Butter (Alpino Health Foods Pvt Ltd),No Deal,₹1.5 crore2% Equity,₹1.5 crore8% Equity,"Anupam, Peyush, Vineeta, Namita"
81,"Rajat, Nitin, Saurabh, Sabit",Dehradun,Pocket Size ECG Device (Spandan),Deal,₹1 crore2% Equity,₹1 crore6% Equity,All Sharks
82,Vidushi Vijayvergia,Lucknow,Authentic Perfumes and Attars (Isak Fragrances),Deal,₹50 lakhs8% Equity,₹50 lakhs50% Equity,Peyush
83,"Ramesh, Chandrakantbhai, Jay",Ahmedabad,Automated Cradle(Julaa Automation),No Deal,₹50 lakhs10% Equity,No Offer,N/A
84,Ranodeep and Vijaya Kumar,Kolkata,Handmade Products(Rare Planet),Deal,₹65 lakhs1% Equity,₹65 lakhs3% Equity,Namita
85,Bhupinder Madaan,Ahmedabad,Coffee (Theka Coffee),No Deal,₹50 lakhs10% Equity,No Offer,N/A
86,Nihaal Singh Adarsh,Pune,Cov-tech Ventilation(Watt Technovations),Deal,₹101 10% Equity,₹1014% Equity,"Anupam, Peyush, Ghazal, Namita"
87,"Shreyash, Konark, Aakarsh, Anant, Udit, Bhavya",Noida,Home Automation Systems(Aliste Technologies),No Deal,₹60 lakhs5% Equity,₹10 lakhs10% Equity ₹50 lakhsDebt,Anupam
88,"Ravi, Deepak, Shilpa",Delhi,Insurance Company(Insurance Samadhan),Deal,₹1 crore1% Equity,₹1 crore4% Equity,Peyush
89,"Vishal, Malvika, Jaywant",Pune,Milk and Organic Products(Humpy A2),Deal,₹75 lakhs4% Equity,₹1 crore15% Equity,"Peyush, Ghazal, Vineeta"
90,Zamzeer and Jameela Ruhi,Mumbai,Kunafa Dessert(Kunafa World),No Deal,₹90 lakhs5% Equity,No Offer,N/A
